Date-time CET-CEST (DD/MM/YYYY HH:mm),DMA 1 (L/s),DMA 2 (L/s)
5/1/2021 4:00,4.22,7.83
5/1/2021 5:00,4.79,8.03
5/1/2021 6:00,5.67,8.54
5/1/2021 7:00,6.53,9.76
5/1/2021 8:00,9.29,10.3
5/1/2021 9:00,8.86,10.31
5/1/2021 10:00,NaN,10.73
5/1/2021 11:00,8.18,10.75
5/1/2021 12:00,8.13,10.3
5/1/2021 13:00,8.27,9.73
5/1/2021 14:00,8.9,9.61
5/1/2021 15:00,8.72,9.72
5/1/2021 16:00,7.98,9.17
5/1/2021 17:00,7.17,9.63
5/1/2021 18:00,6.63,9.67
5/1/2021 19:00,7.36,10.09
5/1/2021 20:00,6.9,9.78
5/1/2021 21:00,5.85,9.21
5/1/2021 22:00,4.77,8.96
5/1/2021 23:00,3.91,8.38
6/1/2021 0:00,3.52,8.16
6/1/2021 1:00,2.76,7.8
6/1/2021 2:00,3.88,7.75
6/1/2021 3:00,4.78,7.74
6/1/2021 4:00,4.64,7.77
6/1/2021 5:00,4.39,7.74
6/1/2021 6:00,4.89,7.93
6/1/2021 7:00,6.08,8.8
6/1/2021 8:00,8.55,9.83
6/1/2021 9:00,8.48,11.04
6/1/2021 10:00,7.95,11.39
6/1/2021 11:00,8.06,11.14
6/1/2021 12:00,6.73,10.56
6/1/2021 13:00,6.78,10.44
6/1/2021 14:00,6.14,9.9
6/1/2021 15:00,6.05,9.57
6/1/2021 16:00,5.91,9.2
6/1/2021 17:00,5.72,9.61
6/1/2021 18:00,6.23,9.75
6/1/2021 19:00,6.77,10.29
6/1/2021 20:00,6.6,10.22
6/1/2021 21:00,5.5,9.5
6/1/2021 22:00,4.64,8.79
6/1/2021 23:00,4.13,8.86
7/1/2021 0:00,4.16,8.17
7/1/2021 1:00,4.01,7.82
7/1/2021 2:00,4.58,7.66
7/1/2021 3:00,4.12,7.86
7/1/2021 4:00,3.95,7.87
7/1/2021 5:00,3.12,8.25
7/1/2021 6:00,4.66,9.31
7/1/2021 7:00,7.47,10.57
7/1/2021 8:00,8.43,10.63
7/1/2021 9:00,8.47,10.54
7/1/2021 10:00,7.58,9.99
7/1/2021 11:00,7.77,9.41
7/1/2021 12:00,8.72,9.26
7/1/2021 13:00,9.05,9.24
7/1/2021 14:00,9.69,9.39
7/1/2021 15:00,9.47,9.43
7/1/2021 16:00,7.69,9.77
7/1/2021 17:00,7.34,9.29
7/1/2021 18:00,6.09,9.56
7/1/2021 19:00,6.1,10.28
7/1/2021 20:00,6.46,9.79
7/1/2021 21:00,5.69,9.68
7/1/2021 22:00,4.13,8.66
7/1/2021 23:00,3.52,8.42
8/1/2021 0:00,3.16,8.07
8/1/2021 1:00,3.85,7.76
8/1/2021 2:00,4.07,7.61
8/1/2021 3:00,4.55,7.61
8/1/2021 4:00,4.3,7.67
8/1/2021 5:00,4.29,7.89
8/1/2021 6:00,5.15,8.83
8/1/2021 7:00,7.55,10.04
8/1/2021 8:00,8.93,10.45
8/1/2021 9:00,9.9,10.03
8/1/2021 10:00,8.46,9.79
8/1/2021 11:00,7.63,9.49
8/1/2021 12:00,7.94,9.68
8/1/2021 13:00,8.61,9.64
8/1/2021 14:00,8.29,9.59
8/1/2021 15:00,8.05,9.52
8/1/2021 16:00,6.6,9.27
8/1/2021 17:00,7.64,9.19
8/1/2021 18:00,6.52,9.62
8/1/2021 19:00,7.5,9.92
8/1/2021 20:00,7.33,9.97
8/1/2021 21:00,6.31,9.45
8/1/2021 22:00,5.29,9.18
8/1/2021 23:00,4.49,8.34
9/1/2021 0:00,3.75,8.06
9/1/2021 1:00,3.55,7.78
9/1/2021 2:00,4.18,7.67
9/1/2021 3:00,3.17,7.71
9/1/2021 4:00,2.74,7.65
9/1/2021 5:00,2.58,8.27
9/1/2021 6:00,3.36,NaN
9/1/2021 7:00,6.07,9.26
9/1/2021 8:00,7.76,10.35
9/1/2021 9:00,8.65,11.48
9/1/2021 10:00,9.27,11.5
9/1/2021 11:00,8.51,11.64
9/1/2021 12:00,7.89,10.4
9/1/2021 13:00,7.41,10.57
9/1/2021 14:00,6.4,10.41
9/1/2021 15:00,6.56,9.8
9/1/2021 16:00,5.74,9.99
9/1/2021 17:00,5.55,9.84
9/1/2021 18:00,5.7,9.98
9/1/2021 19:00,6.52,9.62
9/1/2021 20:00,6.7,10
9/1/2021 21:00,6.48,9.45
9/1/2021 22:00,5.29,9.02
9/1/2021 23:00,4.78,8.71
10/1/2021 0:00,4.53,8.18
10/1/2021 1:00,3.88,7.91
10/1/2021 2:00,4.12,7.72
10/1/2021 3:00,4.18,7.72
10/1/2021 4:00,3.74,7.7
10/1/2021 5:00,4,7.71
10/1/2021 6:00,4.35,7.97
10/1/2021 7:00,5.77,8.59
10/1/2021 8:00,6.26,9.95
10/1/2021 9:00,6.7,11.21
10/1/2021 10:00,7.42,10.94
10/1/2021 11:00,6.96,11.12
10/1/2021 12:00,7.23,11.79
10/1/2021 13:00,7.31,11.18
10/1/2021 14:00,7.17,10.32
10/1/2021 15:00,6.77,10.01
10/1/2021 16:00,6.9,9.82
10/1/2021 17:00,6.35,10.25
10/1/2021 18:00,6.56,10.18
10/1/2021 19:00,7.35,10.42
10/1/2021 20:00,7.64,10.64
10/1/2021 21:00,6.52,9.72
10/1/2021 22:00,5.09,9.13
10/1/2021 23:00,4.44,8.81
11/1/2021 0:00,3.29,8.13
11/1/2021 1:00,2.31,7.81
11/1/2021 2:00,3,7.76
11/1/2021 3:00,3.53,7.88
11/1/2021 4:00,3.21,8.02
11/1/2021 5:00,4.27,8.34
11/1/2021 6:00,5.19,9.3
11/1/2021 7:00,9.01,10.46
11/1/2021 8:00,10.07,10.5
11/1/2021 9:00,9.55,10.15
11/1/2021 10:00,9.3,9.94
11/1/2021 11:00,8.92,9.3
11/1/2021 12:00,9.21,9.57
11/1/2021 13:00,9.01,9.82
11/1/2021 14:00,8.59,9.47
11/1/2021 15:00,10.64,9.2
11/1/2021 16:00,7.12,9.23
11/1/2021 17:00,6.68,9.37
11/1/2021 18:00,6.17,9.65
11/1/2021 19:00,6.51,10.19
11/1/2021 20:00,6.93,10.26
11/1/2021 21:00,6.54,9.73
11/1/2021 22:00,5.63,9.04
11/1/2021 23:00,4.21,8.46
12/1/2021 0:00,4.21,7.99
12/1/2021 1:00,3.78,7.93
12/1/2021 2:00,10.75,7.78
12/1/2021 3:00,4.42,7.81
12/1/2021 4:00,3.81,7.84
12/1/2021 5:00,4.22,8.2
12/1/2021 6:00,6.04,8.97
12/1/2021 7:00,8.4,10.52
12/1/2021 8:00,8.99,10.64
12/1/2021 9:00,9.13,10.27
12/1/2021 10:00,8.78,10.04
12/1/2021 11:00,7.62,9.67
12/1/2021 12:00,7.81,9.29
12/1/2021 13:00,8.67,9.54
12/1/2021 14:00,8.72,9.45
12/1/2021 15:00,NaN,9.45
12/1/2021 16:00,NaN,9.17
12/1/2021 17:00,NaN,9.28
12/1/2021 18:00,NaN,9.89
12/1/2021 19:00,NaN,10.65
12/1/2021 20:00,NaN,11.05
12/1/2021 21:00,NaN,11.01
12/1/2021 22:00,NaN,NaN
12/1/2021 23:00,NaN,NaN
13/01/2021 00:00,NaN,NaN
13/01/2021 01:00,NaN,NaN
13/01/2021 02:00,NaN,NaN
13/01/2021 03:00,NaN,NaN
13/01/2021 04:00,4.18,9.75
13/01/2021 05:00,5.27,8.07
13/01/2021 06:00,6.01,8.98
13/01/2021 07:00,9.81,10.52
13/01/2021 08:00,9.77,10.76
13/01/2021 09:00,9.32,10.44
13/01/2021 10:00,8.99,10.47
13/01/2021 11:00,8.6,9.95
13/01/2021 12:00,8.32,9.79
13/01/2021 13:00,8.02,9.72
13/01/2021 14:00,8.14,9.92
13/01/2021 15:00,8.18,9.5
13/01/2021 16:00,7.02,10.01
13/01/2021 17:00,7.37,9.72
13/01/2021 18:00,7.52,9.61
13/01/2021 19:00,7.42,10.4
13/01/2021 20:00,7.75,10.11
13/01/2021 21:00,6.04,9.89
13/01/2021 22:00,4.75,8.93
13/01/2021 23:00,4.46,8.65
14/01/2021 00:00,4.4,8.07
14/01/2021 01:00,4.9,7.85
14/01/2021 02:00,4.28,7.78
14/01/2021 03:00,4.01,7.75
14/01/2021 04:00,3.88,7.83
14/01/2021 05:00,2.75,8.06
14/01/2021 06:00,4.19,9.13
14/01/2021 07:00,8.81,10.62
14/01/2021 08:00,8.87,10.91
14/01/2021 09:00,8.61,9.76
14/01/2021 10:00,8,10.08
14/01/2021 11:00,8.6,9.31
14/01/2021 12:00,8.08,9.53
14/01/2021 13:00,8.86,9.71
14/01/2021 14:00,9.21,9.99
14/01/2021 15:00,9.25,9.56
14/01/2021 16:00,7.49,9.24
14/01/2021 17:00,6.84,9.63
14/01/2021 18:00,6.75,10.04
14/01/2021 19:00,7.01,10.27
14/01/2021 20:00,7.33,10.26
14/01/2021 21:00,6.47,9.69
14/01/2021 22:00,3.9,9.01
14/01/2021 23:00,3.36,8.49
15/01/2021 00:00,3.06,8.06
15/01/2021 01:00,4.02,7.89
15/01/2021 02:00,4.3,7.93
15/01/2021 03:00,4.97,7.81
15/01/2021 04:00,4.73,7.84
15/01/2021 05:00,4.68,8.16
15/01/2021 06:00,6.13,9.16
15/01/2021 07:00,9.29,10.42
15/01/2021 08:00,8.94,10.39
15/01/2021 09:00,9.6,10.26
15/01/2021 10:00,9.02,9.52
15/01/2021 11:00,7.97,9.23
15/01/2021 12:00,7.86,9.46
15/01/2021 13:00,8.31,10.1
15/01/2021 14:00,9.18,9.76
15/01/2021 15:00,9.53,9.87
15/01/2021 16:00,9.21,9.58
15/01/2021 17:00,9.18,9.11
15/01/2021 18:00,6.67,9.93
15/01/2021 19:00,7.09,9.88
15/01/2021 20:00,7.33,9.94
15/01/2021 21:00,6.5,9.7
15/01/2021 22:00,5.83,9.14
15/01/2021 23:00,5.12,8.72
16/01/2021 00:00,4.69,8.21
16/01/2021 01:00,4.28,7.94
16/01/2021 02:00,5.08,7.82
16/01/2021 03:00,3.51,7.84
16/01/2021 04:00,3.12,8.04
16/01/2021 05:00,3.19,8.32
16/01/2021 06:00,4.35,8.4
16/01/2021 07:00,6.4,9.68
16/01/2021 08:00,7.85,10.84
16/01/2021 09:00,8.56,11.3
16/01/2021 10:00,8.8,11.15
16/01/2021 11:00,8.8,10.14
16/01/2021 12:00,7.99,10.76
16/01/2021 13:00,7.94,10.53
16/01/2021 14:00,NaN,10.46
16/01/2021 15:00,NaN,10.36
16/01/2021 16:00,NaN,10.18
16/01/2021 17:00,NaN,NaN
16/01/2021 18:00,NaN,NaN
16/01/2021 19:00,NaN,NaN
16/01/2021 20:00,NaN,NaN
16/01/2021 21:00,NaN,NaN
16/01/2021 22:00,NaN,NaN
16/01/2021 23:00,NaN,NaN
17/01/2021 00:00,NaN,NaN
17/01/2021 01:00,NaN,NaN
17/01/2021 02:00,NaN,NaN
17/01/2021 03:00,NaN,NaN
17/01/2021 04:00,NaN,NaN
17/01/2021 05:00,NaN,NaN
17/01/2021 06:00,NaN,NaN
17/01/2021 07:00,NaN,NaN
17/01/2021 08:00,NaN,NaN
17/01/2021 09:00,NaN,NaN
17/01/2021 10:00,NaN,NaN
17/01/2021 11:00,NaN,NaN
17/01/2021 12:00,NaN,NaN
17/01/2021 13:00,NaN,NaN
17/01/2021 14:00,NaN,NaN
17/01/2021 15:00,NaN,NaN
17/01/2021 16:00,NaN,NaN
17/01/2021 17:00,NaN,NaN
17/01/2021 18:00,NaN,NaN
17/01/2021 19:00,NaN,NaN
17/01/2021 20:00,NaN,NaN
17/01/2021 21:00,NaN,NaN
17/01/2021 22:00,NaN,NaN
17/01/2021 23:00,NaN,NaN
18/01/2021 00:00,NaN,NaN
18/01/2021 01:00,NaN,NaN
18/01/2021 02:00,NaN,NaN
18/01/2021 03:00,NaN,NaN
18/01/2021 04:00,NaN,NaN
18/01/2021 05:00,NaN,NaN
18/01/2021 06:00,NaN,NaN
18/01/2021 07:00,NaN,NaN
18/01/2021 08:00,NaN,NaN
18/01/2021 09:00,NaN,NaN
18/01/2021 10:00,NaN,NaN
18/01/2021 11:00,NaN,NaN
18/01/2021 12:00,NaN,NaN
18/01/2021 13:00,NaN,NaN
18/01/2021 14:00,NaN,NaN
18/01/2021 15:00,NaN,NaN
18/01/2021 16:00,6.52,9.89
18/01/2021 17:00,6.73,9.55
18/01/2021 18:00,6.48,9.96
18/01/2021 19:00,8.22,10.67
18/01/2021 20:00,9.22,10.44
18/01/2021 21:00,7.4,10.06
18/01/2021 22:00,5.89,9.29
18/01/2021 23:00,5.01,8.79
19/01/2021 00:00,4.26,8.35
19/01/2021 01:00,4.43,8.09
19/01/2021 02:00,11.2,7.99
19/01/2021 03:00,4.41,8.07
19/01/2021 04:00,3.2,8.06
19/01/2021 05:00,3.1,8.49
19/01/2021 06:00,4.37,9.3
19/01/2021 07:00,8.23,10.91
19/01/2021 08:00,8.79,10.9
19/01/2021 09:00,8.63,10.78
19/01/2021 10:00,8.34,10.3
19/01/2021 11:00,8.8,10.41
19/01/2021 12:00,8.69,10.11
19/01/2021 13:00,9.19,10.13
19/01/2021 14:00,9.08,9.94
19/01/2021 15:00,8.7,9.97
19/01/2021 16:00,7.91,9.58
19/01/2021 17:00,6.88,9.65
19/01/2021 18:00,6.56,10.34
19/01/2021 19:00,7.16,10.85
19/01/2021 20:00,6.92,10.75
19/01/2021 21:00,4.75,10.21
19/01/2021 22:00,3.68,9.36
19/01/2021 23:00,3.6,8.88
20/01/2021 00:00,3.4,8.4
20/01/2021 01:00,4.15,8.23
20/01/2021 02:00,4.59,8.03
20/01/2021 03:00,6.88,8.33
20/01/2021 04:00,6.95,8.29
20/01/2021 05:00,5.76,8.38
20/01/2021 06:00,7,9.34
20/01/2021 07:00,10.1,10.68
20/01/2021 08:00,NaN,10.77
20/01/2021 09:00,10.2,10.15
20/01/2021 10:00,9.65,10.08
20/01/2021 11:00,9.27,10.1
20/01/2021 12:00,9.03,10.02
20/01/2021 13:00,9.88,10.08
20/01/2021 14:00,10.54,10.11
20/01/2021 15:00,9.97,9.54
20/01/2021 16:00,7.46,9.56
20/01/2021 17:00,7.92,9.56
20/01/2021 18:00,7.83,9.97
20/01/2021 19:00,8.59,10.43
20/01/2021 20:00,8.28,10.65
20/01/2021 21:00,7.8,9.78
20/01/2021 22:00,6.65,8.87
20/01/2021 23:00,5.69,8.93
21/01/2021 00:00,5.53,8.18
21/01/2021 01:00,5.28,7.98
21/01/2021 02:00,4.54,8.05
21/01/2021 03:00,3.88,8.25
21/01/2021 04:00,2.71,8.32
21/01/2021 05:00,4.02,8.37
21/01/2021 06:00,5.45,9.24
21/01/2021 07:00,10.3,10.6
21/01/2021 08:00,9.32,10.69
21/01/2021 09:00,9.66,10.45
21/01/2021 10:00,9.22,10.27
21/01/2021 11:00,9.45,9.98
21/01/2021 12:00,8.81,9.74
21/01/2021 13:00,9.38,9.78
21/01/2021 14:00,9.14,9.86
21/01/2021 15:00,NaN,9.41
21/01/2021 16:00,NaN,9.28
21/01/2021 17:00,NaN,NaN
21/01/2021 18:00,NaN,NaN
21/01/2021 19:00,NaN,NaN
21/01/2021 20:00,NaN,NaN
21/01/2021 21:00,NaN,NaN
21/01/2021 22:00,NaN,NaN
21/01/2021 23:00,NaN,NaN
22/01/2021 00:00,NaN,8.83
22/01/2021 01:00,NaN,8.02
22/01/2021 02:00,NaN,7.89
22/01/2021 03:00,NaN,7.91
22/01/2021 04:00,3.95,7.93
22/01/2021 05:00,4.49,8.15
22/01/2021 06:00,5.64,8.98
22/01/2021 07:00,8.18,10.4
22/01/2021 08:00,8.38,10.72
22/01/2021 09:00,8.32,10.36
22/01/2021 10:00,7.61,10.09
22/01/2021 11:00,8.11,9.47
22/01/2021 12:00,8.42,9.76
22/01/2021 13:00,8.03,9.87
22/01/2021 14:00,8.97,10.08
22/01/2021 15:00,8.44,9.71
22/01/2021 16:00,6.94,9.47
22/01/2021 17:00,6.86,9.19
22/01/2021 18:00,5.98,9.73
22/01/2021 19:00,6.58,10.11
22/01/2021 20:00,6.92,10.49
22/01/2021 21:00,5.93,9.53
22/01/2021 22:00,5.04,8.87
22/01/2021 23:00,3.95,8.83
23/01/2021 00:00,3.2,8.26
23/01/2021 01:00,2.76,8.11
23/01/2021 02:00,3.56,7.92
23/01/2021 03:00,4.25,7.85
23/01/2021 04:00,3.99,7.98
23/01/2021 05:00,3.82,8.24
23/01/2021 06:00,4.59,8.33
23/01/2021 07:00,6.93,9.51
23/01/2021 08:00,7.91,10.32
23/01/2021 09:00,8.24,11
23/01/2021 10:00,8.64,11.21
23/01/2021 11:00,7.85,10.92
23/01/2021 12:00,7.56,10.81
23/01/2021 13:00,6.89,10.55
23/01/2021 14:00,6.93,10.25
23/01/2021 15:00,6,10.19
23/01/2021 16:00,5.25,10.15
23/01/2021 17:00,6.02,9.86
23/01/2021 18:00,6.14,9.69
23/01/2021 19:00,6.32,10.05
23/01/2021 20:00,6.58,10.1
23/01/2021 21:00,5.93,9.74
23/01/2021 22:00,5.33,9.17
23/01/2021 23:00,4.76,8.85
24/01/2021 00:00,4.46,8.59
24/01/2021 01:00,3.85,8.28
24/01/2021 02:00,4,8.23
24/01/2021 03:00,3.83,8.1
24/01/2021 04:00,3.74,8.07
24/01/2021 05:00,2.93,7.98
24/01/2021 06:00,3.16,8.22
24/01/2021 07:00,4.98,8.92
24/01/2021 08:00,6.51,10.47
24/01/2021 09:00,7.48,11.89
24/01/2021 10:00,7.15,11.62
24/01/2021 11:00,7.54,11.29
24/01/2021 12:00,7.75,11.27
24/01/2021 13:00,8.35,10.73
24/01/2021 14:00,7.63,10.76
24/01/2021 15:00,6.75,9.94
24/01/2021 16:00,5.97,10.08
24/01/2021 17:00,6.1,9.98
24/01/2021 18:00,6.1,10.34
24/01/2021 19:00,6.07,10.71
24/01/2021 20:00,6.11,10.49
24/01/2021 21:00,5.24,9.89
24/01/2021 22:00,5.29,9.14
24/01/2021 23:00,3.65,8.87
25/01/2021 00:00,4.01,8.32
25/01/2021 01:00,4.17,8.16
25/01/2021 02:00,4.49,8
25/01/2021 03:00,4.95,8.03
25/01/2021 04:00,4.69,8.12
25/01/2021 05:00,5.21,8.52
25/01/2021 06:00,5.56,9.52
25/01/2021 07:00,8.37,10.77
25/01/2021 08:00,9.11,10.98
25/01/2021 09:00,9.81,10.79
25/01/2021 10:00,9.52,10.19
25/01/2021 11:00,9,9.95
25/01/2021 12:00,8.69,9.92
25/01/2021 13:00,8.63,9.91
25/01/2021 14:00,8.57,9.6
25/01/2021 15:00,7.67,9.69
25/01/2021 16:00,6.91,9.18
25/01/2021 17:00,7.71,9.7
25/01/2021 18:00,7.64,9.59
25/01/2021 19:00,7.74,10.3
25/01/2021 20:00,7.72,10.32
25/01/2021 21:00,6.78,9.47
25/01/2021 22:00,5.22,8.92
25/01/2021 23:00,5.34,8.59
26/01/2021 00:00,4.99,8.03
26/01/2021 01:00,4.69,7.81
26/01/2021 02:00,10.54,7.83
26/01/2021 03:00,3.82,7.81
26/01/2021 04:00,3.26,8.1
26/01/2021 05:00,3.78,8.26
26/01/2021 06:00,5.24,9.2
26/01/2021 07:00,9.58,10.42
26/01/2021 08:00,9.66,10.83
26/01/2021 09:00,9.61,10.6
26/01/2021 10:00,9.63,9.79
26/01/2021 11:00,8.83,10.31
26/01/2021 12:00,9.19,11.06
26/01/2021 13:00,9.65,11.57
26/01/2021 14:00,9.31,11.29
26/01/2021 15:00,8.29,10.86
26/01/2021 16:00,6.2,10.89
26/01/2021 17:00,7.04,10.93
26/01/2021 18:00,6.88,11.27
26/01/2021 19:00,7.38,12.18
26/01/2021 20:00,7.45,11.81
26/01/2021 21:00,6.62,11.33
26/01/2021 22:00,5.45,10.52
26/01/2021 23:00,4.9,10.01
27/01/2021 00:00,4.78,9.7
27/01/2021 01:00,4.47,9.46
27/01/2021 02:00,4.71,9.33
27/01/2021 03:00,5.2,9.39
27/01/2021 04:00,4.7,9.57
27/01/2021 05:00,5.02,9.62
27/01/2021 06:00,6.36,10.62
27/01/2021 07:00,8.78,12.07
27/01/2021 08:00,9.24,12.13
27/01/2021 09:00,9.63,12.08
27/01/2021 10:00,8.76,11.27
27/01/2021 11:00,8.53,10.92
27/01/2021 12:00,8.08,10.9
27/01/2021 13:00,8.77,11.27
27/01/2021 14:00,9,11.07
27/01/2021 15:00,9.05,11.19
27/01/2021 16:00,8.16,10.82
27/01/2021 17:00,7.45,11.19
27/01/2021 18:00,8.06,11.56
27/01/2021 19:00,8.1,12.25
27/01/2021 20:00,8.07,11.91
27/01/2021 21:00,6.31,11.06
27/01/2021 22:00,4.55,10.63
27/01/2021 23:00,4.06,10.13
28/01/2021 00:00,3.68,9.55
28/01/2021 01:00,3.18,9.47
28/01/2021 02:00,4.07,9.3
28/01/2021 03:00,4.74,9.32
28/01/2021 04:00,4.53,9.37
28/01/2021 05:00,4.61,9.61
28/01/2021 06:00,5.61,10.49
28/01/2021 07:00,9.64,11.9
28/01/2021 08:00,9.51,11.85
28/01/2021 09:00,10.05,11.86
28/01/2021 10:00,8.97,11.29
28/01/2021 11:00,8.69,11.02
28/01/2021 12:00,8.32,11.01
28/01/2021 13:00,8.87,11.28
28/01/2021 14:00,9.48,11.15
28/01/2021 15:00,9.11,10.89
28/01/2021 16:00,7.85,10.96
28/01/2021 17:00,7.09,9.71
28/01/2021 18:00,7.02,9.67
28/01/2021 19:00,7.04,9.97
28/01/2021 20:00,7.43,10.27
28/01/2021 21:00,6.87,9.2
28/01/2021 22:00,5.75,8.65
28/01/2021 23:00,4.73,8.52
29/01/2021 00:00,3.92,8.08
29/01/2021 01:00,3.78,7.69
29/01/2021 02:00,4.19,7.73
29/01/2021 03:00,4.76,7.76
29/01/2021 04:00,3.63,8.05
29/01/2021 05:00,3.58,8.52
29/01/2021 06:00,4.97,9.08
29/01/2021 07:00,8.62,10.37
29/01/2021 08:00,8.6,10.55
29/01/2021 09:00,8.72,10.21
29/01/2021 10:00,9.74,9.57
29/01/2021 11:00,9.89,9.43
29/01/2021 12:00,10.22,9.3
29/01/2021 13:00,10.76,9.46
29/01/2021 14:00,10.24,9.42
29/01/2021 15:00,8.94,9.17
29/01/2021 16:00,7.21,9.12
29/01/2021 17:00,6.53,9.36
29/01/2021 18:00,6.43,9.53
29/01/2021 19:00,7.35,10.2
29/01/2021 20:00,6.56,10.17
29/01/2021 21:00,5.82,9.03
29/01/2021 22:00,3.9,8.77
29/01/2021 23:00,4.23,8.47
30/01/2021 00:00,4.33,8.03
30/01/2021 01:00,3.95,7.74
30/01/2021 02:00,4.92,7.72
30/01/2021 03:00,4.91,7.67
30/01/2021 04:00,3.73,7.95
30/01/2021 05:00,4.39,7.86
30/01/2021 06:00,6.45,8.12
30/01/2021 07:00,8.31,9.3
30/01/2021 08:00,8.49,10.52
30/01/2021 09:00,8.86,10.84
30/01/2021 10:00,8.25,11.19
30/01/2021 11:00,8.02,10.41
30/01/2021 12:00,6.84,10.53
30/01/2021 13:00,6.85,10.74
30/01/2021 14:00,7.02,10.28
30/01/2021 15:00,6.13,9.72
30/01/2021 16:00,5.54,9.95
30/01/2021 17:00,5.48,10.18
30/01/2021 18:00,6.23,10.19
30/01/2021 19:00,6.44,9.96
30/01/2021 20:00,6.99,9.75
30/01/2021 21:00,6.37,9.05
30/01/2021 22:00,5.51,8.6
30/01/2021 23:00,5,8.47
31/01/2021 00:00,4.07,8.25
31/01/2021 01:00,3.88,7.9
31/01/2021 02:00,3.78,7.66
31/01/2021 03:00,3.53,7.65
31/01/2021 04:00,2.85,7.6
31/01/2021 05:00,2.99,7.74
31/01/2021 06:00,4.05,8
31/01/2021 07:00,5.98,8.66
31/01/2021 08:00,6.24,10.28
31/01/2021 09:00,6.93,11.19
31/01/2021 10:00,7.94,11.46
31/01/2021 11:00,8,10.99
31/01/2021 12:00,7.34,11.71
